# FrontmatterCodec golden contract — L0
#
# Each non-comment, non-blank line is one ParseConfidence case:
#   <input> => <expected Value> | <expected Raw>
#
# Raw is the literal string "" when empty. Inputs prefixed with "enum:"
# are passed as Go strings; inputs prefixed with "float:" as float64;
# "int:" as int. Value is compared with a 1e-9 tolerance.
#
# --- enum coercion ---
enum:high => 0.85 | high
enum:medium => 0.55 | medium
enum:low => 0.30 | low
enum:HIGH => 0.85 | HIGH
enum:Medium => 0.55 | Medium
enum:  low   => 0.30 | low
#
# --- float passthrough (already in [0,1]) ---
float:0.85 => 0.85 | ""
float:0.0 => 0.0 | ""
float:1.0 => 1.0 | ""
float:0.5 => 0.5 | ""
int:1 => 1.0 | ""
int:0 => 0.0 | ""
#
# --- numeric strings in [0,1] ---
enum:0.72 => 0.72 | ""
enum:1 => 1.0 | ""
#
# --- malformed / out-of-range -> 0.5 default + Raw ---
enum:probably => 0.5 | probably
enum:very-high => 0.5 | very-high
enum:1.5 => 0.5 | 1.5
enum:-0.2 => 0.5 | -0.2
float:1.5 => 0.5 | 1.5
float:-0.3 => 0.5 | -0.3
int:7 => 0.5 | 7
enum: => 0.5 | ""
